,title,rating,director,year,runtime,age rating,image link,webpage
166,Trainspotting,8.1,Danny Boyle,1996,1h 33m,18,images\Trainspotting.jpg,http://www.imdb.com/title/tt0117951/
167,Prisoners,8.1,Denis Villeneuve,2013,2h 33m,15,images\Prisoners.jpg,http://www.imdb.com/title/tt1392214/
168,The Bridge on the River Kwai,8.1,David Lean,1957,2h 41m,U,images\TheBridgeontheRiverKwai.jpg,http://www.imdb.com/title/tt0050212/
169,Fargo,8.1,Joel CoenEthan Coen,1996,1h 38m,18,images\Fargo.jpg,http://www.imdb.com/title/tt0116282/
170,Warrior,8.1,Gavin O'Connor,2011,2h 20m,12A,images\Warrior.jpg,http://www.imdb.com/title/tt1291584/
171,Gran Torino,8.1,Clint Eastwood,2008,1h 56m,15,images\GranTorino.jpg,http://www.imdb.com/title/tt1205489/
172,Catch Me If You Can,8.1,Steven Spielberg,2002,2h 21m,12A,images\CatchMeIfYouCan.jpg,http://www.imdb.com/title/tt0264464/
173,My Neighbour Totoro,8.1,Hayao Miyazaki,1988,1h 26m,U,images\MyNeighbourTotoro.jpg,http://www.imdb.com/title/tt0096283/
174,Million Dollar Baby,8.1,Clint Eastwood,2004,2h 12m,12A,images\MillionDollarBaby.jpg,http://www.imdb.com/title/tt0405159/
175,Children of Heaven,8.2,Majid Majidi,1997,1h 29m,PG,images\ChildrenofHeaven.jpg,http://www.imdb.com/title/tt0118849/
176,Blade Runner,8.1,Ridley Scott,1982,1h 57m,AA,images\BladeRunner.jpg,http://www.imdb.com/title/tt0083658/
177,The Gold Rush,8.1,Charles Chaplin,1925,1h 35m,U,images\TheGoldRush.jpg,http://www.imdb.com/title/tt0015864/
178,Klaus,8.2,Sergio PablosCarlos Martínez López,2019,1h 36m,PG,images\Klaus.jpg,http://www.imdb.com/title/tt4729430/
179,Harry Potter and the Deathly Hallows: Part 2,8.1,David Yates,2011,2h 10m,12A,images\HarryPotterandtheDeathlyHallowsPart2.jpg,http://www.imdb.com/title/tt1201607/
180,Before Sunrise,8.1,Richard Linklater,1995,1h 41m,15,images\BeforeSunrise.jpg,http://www.imdb.com/title/tt0112471/
181,12 Years a Slave,8.1,Steve McQueen,2013,2h 14m,15,images\12YearsaSlave.jpg,http://www.imdb.com/title/tt2024544/
182,Ben-Hur,8.1,William Wyler,1959,3h 32m,A,images\BenHur.jpg,http://www.imdb.com/title/tt0052618/
183,The Grand Budapest Hotel,8.1,Wes Anderson,2014,1h 39m,15,images\TheGrandBudapestHotel.jpg,http://www.imdb.com/title/tt2278388/
184,On the Waterfront,8.1,Elia Kazan,1954,1h 48m,A,images\OntheWaterfront.jpg,http://www.imdb.com/title/tt0047296/
185,Gone Girl,8.1,David Fincher,2014,2h 29m,18,images\GoneGirl.jpg,http://www.imdb.com/title/tt2267998/
186,The General,8.1,Clyde BruckmanBuster Keaton,1926,1h 7m,U,images\TheGeneral.jpg,http://www.imdb.com/title/tt0017925/
187,Barry Lyndon,8.1,Stanley Kubrick,1975,3h 5m,A,images\BarryLyndon.jpg,http://www.imdb.com/title/tt0072684/
188,Wild Strawberries,8.1,Ingmar Bergman,1957,1h 31m,A,images\WildStrawberries.jpg,http://www.imdb.com/title/tt0050986/
189,In the Name of the Father,8.1,Jim Sheridan,1993,2h 13m,15,images\IntheNameoftheFather.jpg,http://www.imdb.com/title/tt0107207/
190,The Deer Hunter,8.1,Michael Cimino,1978,3h 3m,X,images\TheDeerHunter.jpg,http://www.imdb.com/title/tt0077416/
191,Hacksaw Ridge,8.1,Mel Gibson,2016,2h 19m,15,images\HacksawRidge.jpg,http://www.imdb.com/title/tt2119532/
192,The Third Man,8.1,Carol Reed,1949,1h 44m,A,images\TheThirdMan.jpg,http://www.imdb.com/title/tt0041959/
193,Memories of Murder,8.1,Bong Joon Ho,2003,2h 11m,15,images\MemoriesofMurder.jpg,http://www.imdb.com/title/tt0353969/
194,The Wages of Fear,8.2,Henri-Georges Clouzot,1953,2h 11m,A,images\TheWagesofFear.jpg,http://www.imdb.com/title/tt0046268/
195,Sherlock Jr.,8.2,Buster Keaton,1924,45m,U,images\SherlockJr.jpg,http://www.imdb.com/title/tt0015324/
196,Wild Tales,8.1,Damián Szifron,2014,2h 2m,15,images\WildTales.jpg,http://www.imdb.com/title/tt3011894/
197,Mr. Smith Goes to Washington,8.1,Frank Capra,1939,2h 9m,U,images\MrSmithGoestoWashington.jpg,http://www.imdb.com/title/tt0031679/
198,Mad Max: Fury Road,8.1,George Miller,2015,2h,15,images\MadMaxFuryRoad.jpg,http://www.imdb.com/title/tt1392190/
199,Mary and Max,8.1,Adam Elliot,2009,1h 32m,12A,images\MaryandMax.jpg,http://www.imdb.com/title/tt0978762/
